channel_1,channel_2,time,timestamp
1.356849902343750000e+04,3.047866455078125000e+03,0.000000000000000000e+00,8.380436368439999933e+04
1.872916601562500000e+04,4.970519531250000000e+03,1.000000000000000000e+00,8.380436477430000377e+04
1.873098437500000000e+04,4.987488281250000000e+03,2.000000000000000000e+00,8.380436678609999944e+04
1.873930664062500000e+04,4.990835937500000000e+03,3.000000000000000000e+00,8.380436873930000002e+04
1.875666015625000000e+04,5.021292968750000000e+03,4.000000000000000000e+00,8.380437073350000719e+04
1.877172460937500000e+04,5.043174804687500000e+03,5.000000000000000000e+00,8.380437177670000528e+04
1.878320312500000000e+04,5.036623535156250000e+03,6.000000000000000000e+00,8.380437376030000451e+04
1.877916796875000000e+04,5.026145996093750000e+03,7.000000000000000000e+00,8.380437575360000483e+04
1.877195507812500000e+04,5.030951171875000000e+03,8.000000000000000000e+00,8.380437776780000422e+04
1.875661132812500000e+04,5.029337402343750000e+03,9.000000000000000000e+00,8.380437977109999338e+04
1.872644335937500000e+04,4.979431152343750000e+03,1.000000000000000000e+01,8.380438171739999962e+04
1.872031445312500000e+04,4.952021484375000000e+03,1.100000000000000000e+01,8.380438385199999902e+04
1.874807226562500000e+04,4.942591796875000000e+03,1.200000000000000000e+01,8.380438593859999673e+04
1.876351171875000000e+04,4.961427246093750000e+03,1.300000000000000000e+01,8.380438792660000036e+04
1.878358789062500000e+04,5.001542480468750000e+03,1.400000000000000000e+01,8.380438989979999315e+04
1.876351171875000000e+04,5.027097656250000000e+03,1.500000000000000000e+01,8.380439190109999618e+04
1.874890429687500000e+04,5.015945800781250000e+03,1.600000000000000000e+01,8.380440806000000157e+04
1.875965820312500000e+04,5.013874511718750000e+03,1.700000000000000000e+01,8.380440991240000585e+04
1.875083007812500000e+04,5.024459960937500000e+03,1.800000000000000000e+01,8.380441191779999644e+04
1.872713085937500000e+04,5.020606445312500000e+03,1.900000000000000000e+01,8.380441392190000624e+04
1.872534765625000000e+04,5.013850097656250000e+03,2.000000000000000000e+01,8.380441596139999456e+04
1.872424023437500000e+04,4.959524414062500000e+03,2.100000000000000000e+01,8.380441788209999504e+04
1.872644335937500000e+04,4.960126464843750000e+03,2.200000000000000000e+01,8.380442013349999615e+04
1.873955859375000000e+04,4.968134765625000000e+03,2.300000000000000000e+01,8.380442212350000045e+04
1.874473632812500000e+04,5.005672851562500000e+03,2.400000000000000000e+01,8.380442412609999883e+04
1.877757812500000000e+04,5.066020507812500000e+03,2.500000000000000000e+01,8.380442609290000109e+04
1.879157226562500000e+04,5.048823242187500000e+03,2.600000000000000000e+01,8.380442807029999676e+04
1.878921289062500000e+04,5.029325683593750000e+03,2.700000000000000000e+01,8.380443013730000530e+04
1.878592382812500000e+04,5.010237304687500000e+03,2.800000000000000000e+01,8.380443203850000282e+04
1.877009960937500000e+04,5.002060058593750000e+03,2.900000000000000000e+01,8.380443401729999459e+04
1.873104492187500000e+04,4.954213378906250000e+03,3.000000000000000000e+01,8.380443598359999305e+04
1.871424414062500000e+04,4.954983886718750000e+03,3.100000000000000000e+01,8.380443797100000666e+04
1.871095703125000000e+04,4.936847167968750000e+03,3.200000000000000000e+01,8.380444003779999912e+04
1.872670898437500000e+04,4.967918457031250000e+03,3.300000000000000000e+01,8.380444199520000257e+04
1.872403515625000000e+04,4.998062011718750000e+03,3.400000000000000000e+01,8.380444395349999832e+04
1.874603710937500000e+04,5.023581054687500000e+03,3.500000000000000000e+01,8.380444598570000380e+04
1.876643945312500000e+04,5.037852050781250000e+03,3.600000000000000000e+01,8.380444778220000444e+04
1.878184179687500000e+04,5.025026367187500000e+03,3.700000000000000000e+01,8.380445007360000454e+04
1.877320703125000000e+04,5.021389160156250000e+03,3.800000000000000000e+01,8.380445193419999850e+04
1.876688476562500000e+04,5.015596679687500000e+03,3.900000000000000000e+01,8.380445396440000331e+04
1.874919335937500000e+04,5.013621582031250000e+03,4.000000000000000000e+01,8.380445573309999600e+04
1.875570898437500000e+04,5.011056152343750000e+03,4.100000000000000000e+01,8.380445796270000574e+04
1.874753125000000000e+04,5.001024414062500000e+03,4.200000000000000000e+01,8.380445994400000200e+04
1.875762304687500000e+04,5.013934570312500000e+03,4.300000000000000000e+01,8.380446174919999612e+04
1.875763476562500000e+04,5.006118652343750000e+03,4.400000000000000000e+01,8.380446377990000474e+04
1.874182226562500000e+04,4.996508300781250000e+03,4.500000000000000000e+01,8.380446607819999917e+04
